establecimiento,codigo,nombre,tiempo,mail_jefe_servicio
3,41,NEUROLOGÍA ,2,some.especialidades@hospitalcanete.cl 
3,42,HOSPITALIZACION DOMICILIARIA,24,hdomiciliaria.canete@gmail.com 
3,43,ATENCION PRIMARIA POST ALTA,24,vilmaantihuay@gmail.com 
5,0,Sin Servicio Clinico,NULL,NULL
5,1,Sector Azul,24,
5,2,Sector Verde,24,
5,3,Sector Rojo,24,
5,4,Dental Adulto,24,
5,5,Dental Embarazada,24,
5,6,Dental Niño,24,
5,7,Dental Especialidades,24,
5,8,APS,24,
5,9,Prosam,24,
5,10,Cosam,24,
5,11,Sala Era,24,
5,12,Sala Ira,24,
5,13,Kinesiologia,24,
5,14,Polimater,48,
5,15,Maternidad Hospitalizada,48,
5,16,Pediatria Hospitalizado,48,
5,17,Mujer Hospitalizado,48,
5,18,Hombre Hospitalizado,48,
5,19,Podologia,24,
5,20,Pensionado,48,
5,21,Some,24,
5,22,Recaudacion,48,
5,23,SUBDIRECTOR MEDICO,48,
5,24,DIRECTOR,48,
5,25,MEDICO INTERNISTA,48,
5,26,FONOAUDIOLOGA,48,
5,27,CALIDAD,48,
5,28,MEDICO QUIRURGICO,500,
6,0,Sin Servicio Clinico,NULL,NULL
6,1,SAPU,24,coordinacioneleuterio@gmail.com
6,2,Sector Celeste,24,sectorceleste@gmail.com
6,3,Sector Naranjo,24,sectornaranjogmail.com
6,4,Dental,24,dentaleleuterio@gmail.com
6,5,Mater,24,gisecisterna@gmail.com
6,6,Sector Verde,24,lecisterna@munichue.cl
6,7,Kinesiologia,24,lecisterna@munichue.cl
7,1,box 6,24,
8,1,rewr,48,
